FIPS,county,census_2020_count,july1_2023_pop_est,jan1_2024_pop_est,num_chg_20_23,num_chg_20_24,pct_chg_20_23,pct_chg_20_24
001,Anderson,57922,57501,57465,-421,-457,-0.7,-0.8
003,Andrews,18610,18662,18627,52,17,0.3,0.1
005,Angelina,86395,87030,87355,635,960,0.7,1.1
007,Aransas,23830,25008,25040,1178,1210,4.9,5.1
009,Archer,8560,9096,9318,536,758,6.3,8.9
011,Armstrong,1848,1817,1801,-31,-47,-1.7,-2.5
013,Atascosa,48981,50591,50873,1610,1892,3.3,3.9
015,Austin,30167,31874,32309,1707,2142,5.7,7.1
017,Bailey,6904,6730,6701,-174,-203,-2.5,-2.9
019,Bandera,20851,22293,22454,1442,1603,6.9,7.7
021,Bastrop,97216,110793,113288,13577,16072,14.0,16.5
023,Baylor,3465,3528,3550,63,85,1.8,2.5
025,Bee,31047,31045,31218,-2,171,-0.0,0.6
027,Bell,370647,388063,389880,17416,19233,4.7,5.2
029,Bexar,2009324,2087996,2104986,78672,95662,3.9,4.8
031,Blanco,11374,12981,13242,1607,1868,14.1,16.4
033,Borden,631,580,582,-51,-49,-8.1,-7.8
035,Bosque,18235,18834,18979,599,744,3.3,4.1
037,Bowie,92893,91043,90849,-1850,-2044,-2.0,-2.2
039,Brazoria,372031,394817,398361,22786,26330,6.1,7.1
041,Brazos,233849,245065,247083,11216,13234,4.8,5.7
043,Brewster,9546,9708,9878,162,332,1.7,3.5
045,Briscoe,1435,1425,1423,-10,-12,-0.7,-0.8
047,Brooks,7076,6820,6750,-256,-326,-3.6,-4.6
049,Brown,38095,38621,38923,526,828,1.4,2.2
051,Burleson,17642,19475,19831,1833,2189,10.4,12.4
053,Burnet,49130,54303,55326,5173,6196,10.5,12.6
055,Caldwell,45883,49733,51005,3850,5122,8.4,11.2
057,Calhoun,20106,19809,19817,-297,-289,-1.5,-1.4
059,Callahan,13708,13968,13726,260,18,1.9,0.1
061,Cameron,421017,426062,427291,5045,6274,1.2,1.5
063,Camp,12464,12922,13240,458,776,3.7,6.2
065,Carson,5807,5971,6106,164,299,2.8,5.1
067,Cass,28454,28677,28697,223,243,0.8,0.9
069,Castro,7371,7206,7179,-165,-192,-2.2,-2.6
071,Chambers,46571,53145,54114,6574,7543,14.1,16.2
073,Cherokee,50412,52416,52893,2004,2481,4.0,4.9
075,Childress,6664,6812,6820,148,156,2.2,2.3
077,Clay,10218,10818,11030,600,812,5.9,7.9
079,Cochran,2547,2528,2522,-19,-25,-0.7,-1.0
081,Coke,3285,3290,3283,5,-2,0.2,-0.1
083,Coleman,7684,7857,7919,173,235,2.3,3.1
085,Collin,1064465,1193092,1209295,128627,144830,12.1,13.6
087,Collingsworth,2652,2581,2585,-71,-67,-2.7,-2.5
089,Colorado,20557,21242,21519,685,962,3.3,4.7
091,Comal,161501,188526,190384,27025,28883,16.7,17.9
093,Comanche,13594,14014,13954,420,360,3.1,2.6
095,Concho,3303,3338,3332,35,29,1.1,0.9
097,Cooke,41668,43561,43951,1893,2283,4.5,5.5
099,Coryell,83093,84045,83722,952,629,1.1,0.8
101,Cottle,1380,1334,1338,-46,-42,-3.3,-3.0
103,Crane,4675,4757,4748,82,73,1.8,1.6
105,Crockett,3098,2960,2926,-138,-172,-4.5,-5.6
107,Crosby,5133,4832,4767,-301,-366,-5.9,-7.1
